VG2,4395259,22.74,249.67,2092400.0,1.00,4.78,19.25,0.0000005540,106.78,105.85,102.28,92.01,87.40,157.46,0.00,97.00,82.20,-3.000,-3.000,0.416,-3.0000.000000000685,22.65,254.18,26.22,252.97,27.74,249.72,19.14,252.76,26.28,246.44,17.72,249.62,19.21,246.51,22.74,245.16
VG2,4395300,12.92,249.41,2091800.0,1.00,3.78,14.27,0.0000006200,104.91,104.45,101.47,94.10,91.75,150.97,0.00,96.90,87.90,-3.000,-3.000,0.408,-3.0000.000000000300,12.79,253.71,16.42,252.55,17.98,249.49,9.23,252.37,16.54,246.38,7.80,249.34,9.35,246.35,12.97,245.11
VG2,4395301,0.86,250.26,2091200.0,0.97,13.98,15.01,0.0000006020,103.26,103.77,99.75,91.27,88.43,159.76,0.00,95.80,83.90,-3.000,-3.000,0.424,-3.0000.000000000534,0.65,254.48,4.44,253.34,6.11,250.39,-3.07,253.15,4.67,247.37,-4.51,250.13,-2.83,247.19,0.98,246.05
VG2,4395303,71.35,253.71,2090100.0,0.58,54.52,63.66,0.0000003300,99.56,98.38,95.31,85.81,82.10,1.00,0.00,94.70,79.40,-3.000,-3.000,0.458,-3.0000.000000001410,71.39,266.08,77.17,266.95,79.93,255.03,66.39,260.39,76.84,242.22,64.37,253.38,66.10,246.60,70.95,241.68
VG2,4395304,60.81,252.69,2089500.0,0.74,42.39,53.54,0.0000004300,100.92,100.40,97.39,87.47,82.51,159.15,0.00,96.30,78.10,-3.000,-3.000,0.437,-3.0000.000000001360,60.87,260.81,65.37,259.35,67.29,252.70,56.66,257.81,65.13,246.09,54.91,252.72,56.45,247.65,60.56,244.66
VG2,4395305,49.16,253.58,2088900.0,0.87,29.91,42.28,0.0000005140,104.08,104.03,100.96,90.58,85.11,171.84,0.00,97.70,80.10,-3.000,-3.000,0.418,-3.0000.000000000961,49.16,259.72,53.04,258.32,54.68,253.66,45.41,257.61,52.95,248.96,43.86,253.55,45.32,249.51,49.02,247.48
VG2,4395306,38.54,254.36,2088300.0,0.94,19.38,32.18,0.0000005570,107.66,106.87,102.87,92.03,85.83,1.00,0.00,99.10,80.50,-3.000,-3.000,0.413,-3.0000.000000000975,38.49,259.57,42.13,258.29,43.68,254.46,34.94,257.84,42.13,250.58,33.49,254.29,34.94,250.79,38.48,249.17
VG2,4395307,27.79,254.74,2087700.0,0.99,9.45,22.53,0.0000005800,106.97,106.84,102.58,91.85,86.37,161.98,0.00,97.50,81.20,-3.000,-3.000,0.423,-3.0000.000000000809,27.68,259.40,31.25,258.20,32.78,254.84,24.20,257.89,31.33,251.41,22.80,254.66,24.28,251.47,27.79,250.08
VG2,4395308,18.37,254.52,2087200.0,1.00,1.55,15.68,0.0000005580,105.14,103.98,101.03,92.59,89.76,155.81,0.00,95.70,85.30,-3.000,-3.000,0.425,-3.0000.000000000409,18.22,258.91,21.81,257.75,23.36,254.61,14.72,257.51,21.95,251.42,13.33,254.43,14.85,251.40,18.41,250.13
VG2,4395309,7.19,255.28,2086600.0,0.99,8.80,11.75,0.0000006310,104.04,103.18,100.75,93.15,90.65,1.00,0.00,96.20,86.50,-3.000,-3.000,0.390,-3.0000.000000000361,6.99,259.51,10.68,258.38,12.31,255.40,3.38,258.18,10.91,252.35,1.99,255.17,3.61,252.22,7.31,251.05
VG2,4395310,-2.69,254.44,2086000.0,0.96,16.99,16.92,0.0000004030,103.45,100.43,98.78,91.53,88.99,165.82,0.00,96.10,84.90,-3.000,-3.000,0.425,-3.0000.000000000506,-2.94,258.65,0.91,257.52,2.62,254.59,-6.71,257.33,1.19,251.58,-8.16,254.30,-6.43,251.35,-2.55,250.24
VG2,4395312,76.98,263.23,2084800.0,0.48,61.39,68.99,0.0000002590,97.42,95.95,92.64,84.15,80.74,165.09,0.00,92.90,80.20,-3.000,-3.000,0.439,-3.0000.000000001780,76.78,280.89,83.50,298.27,87.68,300.76,71.25,269.89,83.86,245.43,69.08,260.74,71.02,252.67,76.55,246.28
VG2,4395313,66.44,256.48,2084300.0,0.66,48.76,59.01,0.0000003700,100.11,99.46,96.47,86.39,82.52,152.14,0.00,94.50,78.40,-3.000,-3.000,0.446,-3.0000.000000001340,66.53,266.34,71.57,265.15,73.78,256.39,61.96,262.46,71.22,247.86,60.07,256.58,61.67,250.70,66.09,246.82
VG2,4395314,54.80,256.15,2083700.0,0.81,35.80,47.93,0.0000004790,102.66,102.93,98.91,88.77,84.19,168.37,0.00,95.10,79.40,-3.000,-3.000,0.446,-3.0000.000000000973,54.86,263.03,58.97,261.43,60.67,255.97,50.93,260.71,58.75,250.66,49.29,256.29,50.74,251.80,54.58,249.31
