13960.30,1,531.83,0,0.00,0,302.01,0,303.83,0,0.,0
14035.70,1,532.09,4,0.00,4,302.06,4,303.82,0,0.,0
14111.20,1,531.86,4,0.00,4,301.98,4,303.81,0,0.,0
14186.60,4,531.75,0,0.00,0,302.02,0,303.80,0,0.,0
14262.10,2,531.64,4,0.00,4,302.06,4,303.79,0,0.,0
14337.50,1,532.43,4,0.00,4,301.83,4,303.78,0,0.,0
14412.90,1,532.78,4,0.00,4,301.98,4,303.77,0,0.,0
14488.40,1,533.00,4,0.00,4,301.98,4,303.76,0,0.,0
14563.80,1,533.46,4,0.00,4,302.14,4,303.75,0,0.,0
14639.30,1,533.80,4,0.00,4,301.98,4,303.74,0,0.,0
14714.70,3,533.00,4,-0.47,4,302.09,0,303.73,4,0.,0
14790.10,4,532.72,0,-0.41,0,302.19,0,303.72,0,0.,0
14865.60,1,532.43,4,-0.34,4,302.30,4,303.70,0,0.,0
14941.00,1,532.32,4,0.00,4,302.06,4,303.69,0,0.,0
15016.50,1,532.21,4,0.00,4,301.98,4,303.67,0,0.,0
15091.90,1,531.86,4,0.00,4,301.83,4,303.66,0,0.,0
15167.40,1,531.52,4,0.00,4,302.30,4,303.64,0,0.,0
15242.80,1,531.98,4,0.00,4,302.06,4,303.63,0,0.,0
15318.20,1,531.29,4,0.00,4,302.14,4,303.61,0,0.,0
15393.70,4,531.06,0,0.00,0,302.18,0,303.60,0,0.,0
15469.10,2,530.83,4,0.00,4,302.22,4,303.59,0,0.,0
15544.60,1,530.38,4,0.00,4,301.98,4,303.57,0,0.,0
15620.00,1,529.69,4,0.00,4,301.75,4,303.56,0,0.,0
15695.40,1,529.47,4,0.00,4,301.83,4,303.54,0,0.,0
15770.90,1,528.90,4,0.00,4,301.67,4,303.53,0,0.,0
15846.30,1,528.44,4,0.00,4,301.67,4,303.51,0,0.,0
15921.80,3,528.21,4,0.36,4,301.59,0,303.50,4,0.,0
15997.20,4,528.73,0,0.41,0,301.51,0,303.51,0,0.,0
16072.60,1,529.24,4,0.46,4,301.43,4,303.51,0,0.,0
16148.10,1,529.81,4,0.34,4,301.67,4,303.52,0,0.,0
16223.50,1,531.06,4,0.00,4,301.83,4,303.52,0,0.,0
16299.00,1,532.66,4,0.00,4,301.83,4,303.53,0,0.,0
16374.40,1,533.00,4,-0.50,4,301.83,4,303.54,0,0.,0
16449.80,1,532.66,4,-0.46,4,301.90,4,303.54,0,0.,0
16525.30,1,531.97,4,-0.38,4,301.83,4,303.55,0,0.,0
16600.70,4,531.41,0,-0.19,0,301.94,0,303.56,0,0.,0
16676.20,2,530.84,4,0.00,4,302.06,4,303.56,0,0.,0
16751.60,1,530.61,4,0.00,4,301.98,4,303.57,0,0.,0
16827.10,1,530.61,4,0.00,4,301.98,4,303.58,0,0.,0
16902.50,1,530.38,4,0.00,4,301.83,4,303.58,0,0.,0
16977.90,1,530.61,4,0.00,4,301.83,4,303.59,0,0.,0
17053.40,1,530.38,4,0.00,4,301.67,4,303.59,0,0.,0
17128.80,3,533.46,2,0.00,4,301.77,0,303.60,4,0.,0
17204.30,5,531.97,0,0.00,0,301.88,0,303.60,0,0.,0
17279.70,2,530.49,4,0.00,4,301.98,4,303.60,0,0.,0
17355.10,1,531.97,4,0.00,4,301.98,4,303.59,0,0.,0
17430.60,1,532.89,4,0.00,4,301.90,4,303.59,0,0.,0
