146,1246.5,11.268,514.86,27605.10
147,1255.1,11.424,516.17,27451.83
148,1263.7,11.605,517.59,27276.10
149,1272.3,11.747,519.02,27139.78
150,1280.9,11.916,520.30,26979.28
151,1289.5,12.085,521.54,26820.66
152,1298.1,12.252,522.83,26665.73
153,1306.6,12.419,524.23,26512.49
154,1315.2,12.587,525.44,26360.04
155,1323.8,12.754,526.66,26210.15
156,1332.4,12.923,527.97,26060.12
157,1341.0,13.103,529.34,25902.05
158,1349.6,13.269,530.63,25757.84
159,1358.2,13.431,531.75,25614.20
160,1366.7,13.628,532.90,25451.03
161,1375.3,13.794,534.07,25311.43
162,1383.9,13.975,535.47,25160.80
163,1392.5,14.153,536.80,25014.16
164,1401.1,14.331,537.76,24869.06
165,1409.7,14.510,539.03,24724.66
166,1418.2,14.689,540.46,24581.67
167,1426.8,14.868,541.74,24440.08
168,1435.4,15.047,542.79,24299.90
169,1444.0,15.224,544.01,24162.62
170,1452.6,15.401,545.33,24026.63
171,1461.2,15.591,546.30,23882.06
172,1469.8,15.769,547.42,23747.97
173,1478.3,15.972,548.43,23596.58
174,1486.9,16.149,549.98,23465.85
175,1495.5,16.337,550.90,23328.24
176,1504.1,16.527,551.89,23190.53
177,1512.7,16.716,553.06,23054.85
178,1521.3,16.905,554.35,22920.40
179,1529.9,17.095,555.41,22786.47
180,1538.4,17.295,556.46,22646.83
181,1547.0,17.495,557.74,22508.49
182,1555.6,17.684,558.75,22378.95
183,1564.2,17.873,559.78,22250.56
184,1572.8,18.061,560.89,22123.96
185,1581.4,18.272,561.72,21983.17
186,1589.9,18.459,562.86,21859.51
187,1598.5,18.658,563.97,21729.10
188,1607.1,18.858,564.89,21599.16
189,1615.7,19.058,566.21,21470.35
190,1624.3,19.256,567.13,21343.90
191,1632.9,19.466,568.44,21210.94
192,1641.5,19.677,569.13,21078.53
193,1650.0,19.876,570.25,20954.78
194,1658.6,20.065,571.36,20838.23
195,1667.2,20.294,572.47,20698.31
196,1675.8,20.444,573.53,20606.80
197,1684.4,20.758,574.59,20418.09
198,1693.0,20.990,575.55,20280.27
199,1701.6,21.141,576.58,20190.74
200,1710.1,21.292,577.68,20102.17
201,1718.7,21.606,578.52,19919.61
202,1727.3,21.838,579.60,19786.21
203,1735.9,22.071,580.94,19653.42
204,1744.5,22.221,581.91,19567.90
205,1753.1,22.535,582.32,19391.69
206,1761.6,22.767,583.59,19262.86
207,1770.2,23.000,584.85,19134.55
208,1778.8,23.232,585.82,19007.78
209,1787.4,23.464,586.55,18882.08
210,1796.0,23.778,587.28,18713.69
211,1804.6,23.930,588.26,18632.88
212,1813.2,24.081,589.58,18552.88
213,1821.7,24.395,591.21,18387.81
214,1830.3,24.627,592.32,18266.90
215,1838.9,24.938,593.00,18106.36
216,1847.5,25.003,594.15,18073.39
217,1856.1,25.292,595.02,17925.89
218,1864.7,25.580,596.03,17780.30
219,1873.3,25.794,597.51,17672.94
220,1881.8,25.932,598.39,17603.99
221,1890.4,26.221,599.41,17460.65
222,1899.0,26.435,600.17,17355.83
223,1907.6,26.724,601.27,17214.79
224,1916.2,26.862,602.20,17147.74
225,1924.8,27.227,603.07,16972.57
226,1933.3,27.440,603.99,16870.92
227,1941.9,27.803,604.80,16699.37
228,1950.5,27.716,605.22,16740.58
229,1959.1,28.082,606.47,16568.93
230,1967.7,28.371,606.82,16435.18
231,1976.3,28.660,608.02,16302.15
232,1984.9,28.799,608.73,16238.88
233,1993.4,29.080,609.71,16107.41
234,2002.0,29.303,610.45,16010.71
235,2010.6,29.746,611.15,15812.72
236,2019.2,29.814,611.58,15782.82
237,2027.8,30.191,612.42,15616.65
238,2036.4,30.492,613.06,15485.65
239,2045.0,30.870,613.34,15322.82
240,2053.5,31.015,614.06,15260.51
241,2062.1,31.238,614.57,15165.67
242,2070.7,31.538,615.55,15038.99
243,2079.3,31.838,616.21,14912.92
244,2087.9,32.139,617.19,14787.90
245,2096.5,32.362,618.19,14695.83
246,2105.0,32.585,619.00,14604.30
247,2113.6,32.962,619.48,14450.32
248,2122.2,33.418,620.18,14266.68
249,2130.8,33.408,620.90,14270.74
250,2139.4,33.787,621.73,14119.61
251,2148.0,34.165,622.51,13970.34
252,2156.6,34.606,623.32,13798.01
253,2165.1,34.670,623.91,13773.18
254,2173.7,35.029,624.69,13634.45
255,2182.3,35.314,625.40,13525.17
256,2190.9,35.673,625.86,13388.63
257,2199.5,35.885,626.57,13308.59
258,2208.1,36.023,627.18,13256.66
259,2216.7,36.381,628.23,13122.71
260,2225.2,36.740,628.84,12989.52
261,2233.8,37.173,629.76,12830.38
262,2242.4,37.237,630.64,12806.95
263,2251.0,37.596,630.96,12676.29
264,2259.6,37.956,631.71,12546.78
265,2268.2,38.241,632.66,12444.65
266,2276.7,38.600,633.35,12316.95
267,2285.3,38.811,634.03,12242.29
268,2293.9,39.166,635.00,12117.86
269,2302.5,39.505,635.87,11999.56
270,2311.1,39.982,636.67,11834.62
271,2319.7,39.972,637.22,11837.94
272,2328.3,40.242,637.85,11745.51
273,2336.8,40.650,638.75,11606.42
274,2345.4,40.920,639.78,11515.26
275,2354.0,41.328,640.39,11378.03
276,2362.6,41.389,641.08,11357.83
277,2371.2,41.757,641.89,11235.08
278,2379.8,42.066,642.71,11132.70
279,2388.4,42.405,643.60,11021.41
280,2396.9,42.814,644.24,10888.14
281,2405.5,42.805,644.98,10890.90
282,2414.1,43.284,645.81,10735.99
283,2422.7,43.622,646.56,10627.29
284,2431.3,43.956,647.09,10520.92
285,2439.9,44.334,648.46,10401.31
286,2448.4,44.389,648.87,10383.73
287,2457.0,44.832,649.33,10244.66
288,2465.6,45.081,649.78,10167.08
289,2474.2,45.459,650.62,10049.66
290,2482.8,45.773,651.54,9953.00
291,2491.4,45.823,652.13,9936.17
292,2500.0,46.336,652.77,9780.95
293,2508.5,46.650,653.43,9685.75
294,2517.1,47.027,654.25,9571.87
295,2525.7,47.341,654.88,9477.87
296,2534.3,47.526,655.55,9422.69
297,2542.9,47.969,656.23,9291.32
298,2551.5,48.283,656.87,9198.82
299,2560.1,48.727,657.98,9068.86
300,2568.6,48.979,658.61,8995.54
301,2577.2,49.232,659.11,8922.21
302,2585.8,49.680,659.87,8793.15
303,2594.4,49.998,660.80,8702.11
304,2603.0,50.643,661.55,8518.98
305,2611.6,50.765,661.88,8484.56
306,2620.1,50.952,662.64,8431.88
307,2628.7,51.466,663.41,8288.06
308,2637.3,51.785,664.16,8199.66
309,2645.9,52.234,664.82,8075.62
