S,3212,38.824,1170.589,0.532,416.67,0.05,3.717210,0.002091,4.66207,0.00212,63.464,132.823,110.807,21.702,73342.361
S,3212,38.908,1161.340,0.703,416.13,0.05,3.683063,0.002587,4.62523,0.00280,63.485,132.797,110.798,21.704,73341.952
S,3212,38.926,1159.275,0.364,416.06,0.04,3.675878,0.001466,4.61701,0.00145,63.562,132.698,110.763,21.711,73340.477
S,3212,39.032,1148.236,0.460,415.17,0.05,3.633128,0.001893,4.57304,0.00183,63.635,132.605,110.730,21.717,73339.084
S,3212,39.100,1141.471,0.450,414.53,0.05,3.606154,0.001842,4.54610,0.00179,63.652,132.583,110.722,21.718,73338.757
S,3212,39.183,1133.104,0.442,413.75,0.05,3.572997,0.001787,4.51278,0.00176,63.669,132.562,110.714,21.720,73338.429
S,3212,39.271,1124.346,0.430,412.97,0.04,3.538701,0.001711,4.47790,0.00171,63.686,132.541,110.706,21.721,73338.101
S,3212,39.358,1115.542,0.398,412.24,0.04,3.504725,0.001555,4.44283,0.00158,63.703,132.519,110.698,21.722,73337.774
S,3212,39.441,1107.034,0.374,411.58,0.03,3.472459,0.001437,4.40895,0.00149,63.720,132.498,110.690,21.724,73337.446
S,3212,39.509,1100.019,0.388,411.10,0.03,3.446417,0.001471,4.38101,0.00155,63.737,132.476,110.683,21.725,73337.118
S,3212,39.558,1094.847,0.407,410.78,0.04,3.427548,0.001551,4.36041,0.00162,63.766,132.437,110.669,21.728,73336.545
S,3212,39.610,1089.488,0.398,410.43,0.04,3.407843,0.001521,4.33907,0.00158,63.796,132.398,110.655,21.731,73335.972
S,3212,39.675,1082.758,0.399,409.96,0.03,3.382943,0.001503,4.31227,0.00159,63.813,132.377,110.648,21.732,73335.644
S,3212,39.738,1076.319,0.411,409.56,0.03,3.359542,0.001537,4.28662,0.00164,63.834,132.349,110.638,21.734,73335.234
S,3212,39.781,1071.787,0.429,409.30,0.04,3.343279,0.001617,4.26857,0.00171,63.864,132.310,110.624,21.736,73334.661
S,3212,39.837,1066.005,0.423,408.94,0.04,3.322304,0.001594,4.24554,0.00168,63.893,132.271,110.611,21.739,73334.087
S,3212,39.896,1060.075,0.399,408.55,0.03,3.300699,0.001494,4.22193,0.00159,63.914,132.243,110.601,21.741,73333.678
S,3212,39.959,1053.595,0.409,408.15,0.03,3.277308,0.001513,4.19612,0.00163,63.931,132.221,110.593,21.742,73333.350
S,3212,40.036,1045.528,0.507,407.76,0.03,3.249113,0.001798,4.16399,0.00202,63.956,132.188,110.582,21.745,73332.859
S,3212,40.063,1042.603,0.387,407.67,0.04,3.239259,0.001467,4.15234,0.00154,64.015,132.108,110.555,21.750,73331.712
S,3212,40.145,1034.388,0.408,407.13,0.04,3.209527,0.001568,4.11962,0.00163,64.066,132.041,110.532,21.754,73330.729
S,3212,40.202,1028.813,0.371,406.72,0.04,3.189012,0.001417,4.09742,0.00148,64.087,132.012,110.522,21.756,73330.319
S,3212,40.261,1023.106,0.333,406.30,0.03,3.168069,0.001263,4.07469,0.00133,64.108,131.984,110.513,21.758,73329.909
S,3212,40.317,1017.653,0.304,405.92,0.03,3.148169,0.001141,4.05298,0.00121,64.125,131.962,110.505,21.760,73329.582
S,3212,40.368,1012.644,0.291,405.58,0.03,3.130116,0.001093,4.03303,0.00116,64.145,131.934,110.495,21.761,73329.172
S,3212,40.411,1008.368,0.308,405.31,0.03,3.114757,0.001170,4.01600,0.00122,64.171,131.899,110.484,21.764,73328.681
S,3212,40.461,1003.588,0.332,404.97,0.03,3.097424,0.001260,3.99696,0.00132,64.191,131.871,110.474,21.766,73328.271
S,3212,40.504,999.397,0.328,404.67,0.03,3.082226,0.001242,3.98027,0.00131,64.208,131.849,110.467,21.767,73327.943
S,3212,40.544,995.628,0.321,404.41,0.03,3.068591,0.001218,3.96526,0.00128,64.225,131.825,110.459,21.769,73327.616
S,3212,40.584,991.808,0.320,404.14,0.03,3.054758,0.001213,3.95004,0.00127,64.242,131.803,110.451,21.770,73327.288
S,3212,40.630,987.377,0.318,403.81,0.03,3.038696,0.001205,3.93240,0.00127,64.258,131.780,110.444,21.772,73326.960
S,3212,40.678,982.851,0.317,403.49,0.03,3.022371,0.001192,3.91437,0.00126,64.275,131.757,110.436,21.773,73326.633
S,3212,40.727,978.181,0.305,403.18,0.03,3.005642,0.001148,3.89577,0.00122,64.296,131.728,110.427,21.775,73326.223
S,3212,40.776,973.507,0.286,402.86,0.03,2.988921,0.001084,3.87716,0.00114,64.321,131.694,110.415,21.777,73325.732
S,3212,40.816,969.729,0.281,402.59,0.03,2.975305,0.001073,3.86211,0.00112,64.341,131.665,110.406,21.779,73325.322
S,3212,40.857,965.963,0.276,402.29,0.03,2.961580,0.001057,3.84711,0.00110,64.358,131.642,110.398,21.781,73324.994
S,3212,40.911,961.004,0.273,401.89,0.03,2.943424,0.001044,3.82736,0.00109,64.374,131.619,110.390,21.782,73324.667
